Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI%,DS,DIX,Ybu,Ykg
2018,Dekalb,4,Full-,204,21,2,30,170,AR1R3,0,0,0,88.43,5946.9175
2018,Dekalb,4,Full-,205,20,2,30,170,Amodel,0,0,0,86.78,5835.955
2018,Dekalb,4,Full-,206,19,2,30,170,NT,0,0,0,84.43,5677.9175
2018,Dekalb,4,Full-,207,15,2,30,110,AR1R3,0,0,0,78.21,5259.6225
2018,Dekalb,4,Full-,208,13,2,30,110,NT,0,0,0,79.02,5314.095
2018,Dekalb,4,Full-,209,14,2,30,110,Amodel,0,0,0,79.93,5375.2925
2018,Dekalb,4,Full-,210,24,2,30,200,AR1R3,0,0,0,86.73,5832.5925
2018,Dekalb,4,Full-,211,23,2,30,200,Amodel,0,0,0,88.06,5922.035
2018,Dekalb,4,Full-,212,22,2,30,200,NT,0,0,0,86.92,5845.37
2018,Dekalb,4,Full-,213,3,2,15,110,AR1R3,0,0,0,92.31,6207.8475
2018,Dekalb,4,Full-,214,1,2,15,110,NT,0,0,0,86.66,5827.885
2018,Dekalb,4,Full-,215,2,2,15,110,Amodel,0,0,0,90.14,6061.915
2018,Dekalb,4,Full-,216,5,2,15,140,Amodel,0,0,0,83.52,5616.72
2018,Dekalb,4,Full-,217,6,2,15,140,AR1R3,0,0,0,91.16,6130.51
2018,Dekalb,4,Full-,218,4,2,15,140,NT,0,0,0,74.55,5013.4875
2018,Dekalb,4,Full-,219,10,2,15,200,NT,0,0,0,94.42,6349.745
2018,Dekalb,4,Full-,220,12,2,15,200,AR1R3,0,0,0,85.57,5754.5825
2018,Dekalb,4,Full-,221,11,2,15,200,Amodel,0,0,0,90.28,6071.33
2018,Dekalb,4,Full-,222,9,2,15,170,AR1R3,0,0,0,88.62,5959.695
2018,Dekalb,4,Full-,223,7,2,15,170,NT,0,0,0,88.83,5973.8175
2018,Dekalb,4,Full-,224,8,2,15,170,Amodel,0,0,0,92.86,6244.835
2018,Dekalb,4,Full-,301,8,3,15,170,Amodel,0,0,0,100,6725
2018,Dekalb,4,Full-,302,9,3,15,170,AR1R3,0,0,0,94.38,6347.055
2018,Dekalb,4,Full-,303,7,3,15,170,NT,0,0,0,94.45,6351.7625
2018,Dekalb,4,Full-,304,10,3,15,200,NT,0,0,0,93.84,6310.74
2018,Dekalb,4,Full-,305,12,3,15,200,AR1R3,0,0,0,101.89,6852.1025
2018,Dekalb,4,Full-,306,11,3,15,200,Amodel,0,0,0,93.69,6300.6525
2018,Dekalb,4,Full-,307,5,3,15,140,Amodel,0,0,0,87.77,5902.5325
2018,Dekalb,4,Full-,308,6,3,15,140,AR1R3,0,0,0,95.5,6422.375
2018,Dekalb,4,Full-,309,4,3,15,140,NT,0,0,0,89.12,5993.32
2018,Dekalb,4,Full-,310,3,3,15,110,AR1R3,0,0,0,84.92,5710.87
2018,Dekalb,4,Full-,311,1,3,15,110,NT,0,0,0,87.09,5856.8025
2018,Dekalb,4,Full-,312,2,3,15,110,Amodel,0,0,0,79.58,5351.755
2018,Dekalb,4,Full-,313,22,3,30,200,NT,0,0,0,85.93,5778.7925
2018,Dekalb,4,Full-,314,24,3,30,200,AR1R3,0,0,0,89.05,5988.6125
2018,Dekalb,4,Full-,315,23,3,30,200,Amodel,0,0,0,87.02,5852.095
2018,Dekalb,4,Full-,316,16,3,30,140,NT,0,0,0,82.72,5562.92
2018,Dekalb,4,Full-,317,18,3,30,140,AR1R3,0,0,0,77.68,5223.98
2018,Dekalb,4,Full-,318,17,3,30,140,Amodel,0,0,0,76.72,5159.42
2018,Dekalb,4,Full-,319,13,3,30,110,NT,0,0,0,88.57,5956.3325
2018,Dekalb,4,Full-,320,15,3,30,110,AR1R3,0,0,0,82.74,5564.265
2018,Dekalb,4,Full-,321,14,3,30,110,Amodel,0,0,0,81.07,5451.9575
2018,Dekalb,4,Full-,322,21,3,30,170,AR1R3,0,0,0,87.63,5893.1175
2018,Dekalb,4,Full-,323,19,3,30,170,NT,0,0,0,79.84,5369.24
2018,Dekalb,4,Full-,324,20,3,30,170,Amodel,0,0,0,80.06,5384.035
2018,Dekalb,4,Full-,401,6,4,15,140,AR1R3,0,0,0,104.13,7002.7425
2018,Dekalb,4,Full-,402,4,4,15,140,NT,0,0,0,108.7,7310.075
2018,Dekalb,4,Full-,403,5,4,15,140,Amodel,0,0,0,99.71,6705.4975
2018,Dekalb,4,Full-,404,12,4,15,200,AR1R3,0,0,0,110.1,7404.225
2018,Dekalb,4,Full-,405,11,4,15,200,Amodel,0,0,0,100.74,6774.765
2018,Dekalb,4,Full-,406,10,4,15,200,NT,0,0,0,104.04,6996.69
2018,Dekalb,4,Full-,407,3,4,15,110,AR1R3,0,0,0,93.4,6281.15
2018,Dekalb,4,Full-,408,1,4,15,110,NT,0,0,0,91.52,6154.72
2018,Dekalb,4,Full-,409,2,4,15,110,Amodel,0,0,0,90.27,6070.6575
2018,Dekalb,4,Full-,410,8,4,15,170,Amodel,0,0,0,92.89,6246.8525
2018,Dekalb,4,Full-,411,7,4,15,170,NT,0,0,0,87.37,5875.6325
2018,Dekalb,4,Full-,412,9,4,15,170,AR1R3,0,0,0,91.04,6122.44
2018,Dekalb,4,Full-,413,14,4,30,110,Amodel,0,0,0,81.43,5476.1675
2018,Dekalb,4,Full-,414,15,4,30,110,AR1R3,0,0,0,89.28,6004.08
2018,Dekalb,4,Full-,415,13,4,30,110,NT,0,0,0,78.22,5260.295
2018,Dekalb,4,Full-,416,16,4,30,140,NT,0,0,0,78.43,5274.4175
2018,Dekalb,4,Full-,417,18,4,30,140,AR1R3,0,0,0,80.32,5401.52
2018,Dekalb,4,Full-,418,17,4,30,140,Amodel,0,0,0,74.49,5009.4525
2018,Dekalb,4,Full-,419,20,4,30,170,Amodel,0,0,0,78.81,5299.9725
2018,Dekalb,4,Full-,420,19,4,30,170,NT,0,0,0,81.14,5456.665
2018,Dekalb,4,Full-,421,21,4,30,170,AR1R3,0,0,0,74.5,5010.125
2018,Dekalb,4,Full-,422,22,4,30,200,NT,0,0,0,78.77,5297.2825
2018,Dekalb,4,Full-,423,23,4,30,200,Amodel,0,0,0,78.44,5275.09
2018,Dekalb,4,Full-,424,24,4,30,200,AR1R3,0,0,0,80.37,5404.8825
2019,Arlington,15,Full-,101,9,1,15,170,AR1R3,0,0,0,68.87,4631.5075
2019,Arlington,15,Full-,102,8,1,15,170,Amodel,0,0,0,69.84,4696.74
2019,Arlington,15,Full-,103,7,1,15,170,NT,0,0,0,62.47,4201.1075
2019,Arlington,15,Full-,104,3,1,15,110,AR1R3,0,0,0,59.16,3978.51
2019,Arlington,15,Full-,105,2,1,15,110,Amodel,0,0,0,55.64,3741.79
2019,Arlington,15,Full-,106,1,1,15,110,NT,0,0,0,57.68,3878.98
2019,Arlington,15,Full-,107,12,1,15,200,AR1R3,0,0,0,77.85,5235.4125
2019,Arlington,15,Full-,108,10,1,15,200,NT,0,0,0,72.32,4863.52
2019,Arlington,15,Full-,109,11,1,15,200,Amodel,0,0,0,78.27,5263.6575
2019,Arlington,15,Full-,110,5,1,15,140,Amodel,0,0,0,68.23,4588.4675
2019,Arlington,15,Full-,111,6,1,15,140,AR1R3,0,0,0,66.17,4449.9325
2019,Arlington,15,Full-,112,4,1,15,140,NT,0,0,0,58.25,3917.3125
2019,Arlington,15,Full-,113,24,1,30,200,AR1R3,0,0,0,72.54,4878.315
