Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2019,Arlington,Arlington-2019,0,Fully,8,1,15,170000,420000,Amodel,0,0,0,69.84,4696.7,1549.9,2066.6,2583.2,186,57.3,243.3,1306.7,1823.3,2339.9,0
2019,Arlington,Arlington-2019,0,Fully,2,3,15,110000,270000,Amodel,0,0,0,69.86,4698.1,1550.4,2067.2,2583.9,119.6,57.3,176.8,1373.5,1890.3,2407.1,0
2019,Arlington,Arlington-2019,0,Fully,8,3,15,170000,420000,Amodel,0,0,0,73.14,4918.7,1623.2,2164.2,2705.3,186,57.3,243.3,1379.9,1921,2462,0
2019,Arlington,Arlington-2019,0,Fully,11,2,15,200000,495000,Amodel,0,0,0,74.92,5038.4,1662.7,2216.9,2771.1,219.2,57.3,276.5,1386.2,1940.4,2494.6,0
2019,Arlington,Arlington-2019,0,Fully,8,2,15,170000,420000,Amodel,0,0,0,76.07,5115.7,1688.2,2250.9,2813.6,186,57.3,243.3,1444.9,2007.7,2570.4,0
2019,Arlington,Arlington-2019,0,Fully,11,4,15,200000,495000,Amodel,0,0,0,76.97,5176.2,1708.2,2277.5,2846.9,219.2,57.3,276.5,1431.7,2001.1,2570.5,0
2019,Arlington,Arlington-2019,0,Fully,8,4,15,170000,420000,Amodel,0,0,0,77.81,5232.7,1726.8,2302.4,2878,186,57.3,243.3,1483.5,2059.1,2634.7,0
2019,Arlington,Arlington-2019,0,Fully,11,1,15,200000,495000,Amodel,0,0,0,78.27,5263.7,1737,2316,2895,219.2,57.3,276.5,1460.5,2039.5,2618.5,0
2019,Arlington,Arlington-2019,0,Fully,14,1,30,110000,270000,Amodel,0,0,0,53.74,3614,1192.6,1590.2,1987.7,119.6,57.3,176.8,1015.8,1413.3,1810.9,0
2019,Arlington,Arlington-2019,0,Fully,17,4,30,140000,345000,Amodel,0,0,0,55.09,3704.8,1222.6,1630.1,2037.6,152.8,57.3,210,1012.5,1420.1,1827.6,0
2019,Arlington,Arlington-2019,0,Fully,23,3,30,200000,495000,Amodel,0,0,0,57.18,3845.4,1269,1692,2114.9,219.2,57.3,276.5,992.5,1415.5,1838.5,0
2019,Arlington,Arlington-2019,0,Fully,14,3,30,110000,270000,Amodel,0,0,0,58.1,3907.2,1289.4,1719.2,2149,119.6,57.3,176.8,1112.6,1542.3,1972.1,0
2019,Arlington,Arlington-2019,0,Fully,14,2,30,110000,270000,Amodel,0,0,0,61.49,4135.2,1364.6,1819.5,2274.4,119.6,57.3,176.8,1187.8,1642.7,2097.5,0
2019,Arlington,Arlington-2019,0,Fully,17,2,30,140000,345000,Amodel,0,0,0,64.75,4354.4,1437,1916,2394.9,152.8,57.3,210,1226.9,1705.9,2184.9,0
2019,Arlington,Arlington-2019,0,Fully,17,1,30,140000,345000,Amodel,0,0,0,65.06,4375.3,1443.8,1925.1,2406.4,152.8,57.3,210,1233.8,1715.1,2196.4,0
2019,Arlington,Arlington-2019,0,Fully,17,3,30,140000,345000,Amodel,0,0,0,66.58,4477.5,1477.6,1970.1,2462.6,152.8,57.3,210,1267.5,1760.1,2252.6,0
2019,Arlington,Arlington-2019,0,Fully,20,2,30,170000,420000,Amodel,0,0,0,67.83,4561.6,1505.3,2007.1,2508.9,186,57.3,243.3,1262.1,1763.8,2265.6,0
