Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI,DS,DIX,Ybu,Ykg
2019,Lewiston,12,Full+,405,19,4,30,170,NT,5.32,2.09,3.71,76.26,5128.485
2019,Lewiston,12,Full+,406,21,4,30,170,AR1R3,3.25,2,2.17,93.75,6304.6875
2019,Lewiston,12,Full+,407,17,4,30,140,Amodel,4.98,2.5,4.15,76.68,5156.73
2019,Lewiston,12,Full+,408,16,4,30,140,NT,5.4,2.75,4.95,.,.
2019,Lewiston,12,Full+,409,18,4,30,140,AR1R3,2.02,3,2.02,92.01,6187.6725
2019,Lewiston,12,Full+,410,23,4,30,200,Amodel,15.88,2.83,15,75.01,5044.4225
2019,Lewiston,12,Full+,411,24,4,30,200,AR1R3,6.16,2.71,5.58,72.99,4908.5775
2019,Lewiston,12,Full+,412,22,4,30,200,NT,6.7,2.71,6.06,91.66,6164.135
2019,Lewiston,12,Full+,413,8,4,15,170,Amodel,1.26,2,0.84,96.98,6521.905
2019,Lewiston,12,Full+,414,7,4,15,170,NT,1.46,3,1.46,94.18,6333.605
2019,Lewiston,12,Full+,415,9,4,15,170,AR1R3,0,0,0,101.45,6822.5125
2019,Lewiston,12,Full+,416,11,4,15,200,Amodel,2.03,2.33,1.58,88.04,5920.69
2019,Lewiston,12,Full+,417,12,4,15,200,AR1R3,3.7,2.8,3.46,88.53,5953.6425
2019,Lewiston,12,Full+,418,10,4,15,200,NT,4.32,3,4.32,90.86,6110.335
2019,Lewiston,12,Full+,419,1,4,15,110,NT,2.63,3,2.63,78.95,5309.3875
2019,Lewiston,12,Full+,420,2,4,15,110,Amodel,4.67,3,4.67,87.93,5913.2925
2019,Lewiston,12,Full+,421,3,4,15,110,AR1R3,0.78,3,0.78,94.55,6358.4875
2019,Lewiston,12,Full+,422,4,4,15,140,NT,0,0,0,82.39,5540.7275
2019,Lewiston,12,Full+,423,5,4,15,140,Amodel,5.52,3,5.52,82.43,5543.4175
2019,Lewiston,12,Full+,424,6,4,15,140,AR1R3,3.92,3,3.92,100.55,6761.9875
2019,Montfort,13,Full+,101,4,1,15,140,NT,0,0,0,74.52,5011.47
2019,Montfort,13,Full+,102,5,1,15,140,Amodel,0.99,3,0.99,86.46,5814.435
2019,Montfort,13,Full+,103,6,1,15,140,AR1R3,3.13,3,3.13,84.39,5675.2275
2019,Montfort,13,Full+,104,2,1,15,110,Amodel,4.17,3,4.17,69.21,4654.3725
2019,Montfort,13,Full+,105,3,1,15,110,AR1R3,1.25,3,1.25,82.38,5540.055
2019,Montfort,13,Full+,106,1,1,15,110,NT,1.28,3,1.28,78.93,5308.0425
2019,Montfort,13,Full+,107,9,1,15,170,AR1R3,0,0,0,89.38,6010.805
2019,Montfort,13,Full+,108,7,1,15,170,NT,0.72,3,0.72,85.14,5725.665
2019,Montfort,13,Full+,109,8,1,15,170,Amodel,1.56,3,1.56,85.74,5766.015
2019,Montfort,13,Full+,110,10,1,15,200,NT,0.7,3,0.7,83.49,5614.7025
2019,Montfort,13,Full+,111,11,1,15,200,Amodel,0.56,3,0.56,96.25,6472.8125
2019,Montfort,13,Full+,112,12,1,15,200,AR1R3,1.3,3,1.3,89.38,6010.805
2019,Montfort,13,Full+,113,21,1,30,170,AR1R3,0,0,0,79.59,5352.4275
2019,Montfort,13,Full+,114,20,1,30,170,Amodel,0.4,3,0.4,72.32,4863.52
2019,Montfort,13,Full+,115,19,1,30,170,NT,0.85,3,0.85,70.06,4711.535
2019,Montfort,13,Full+,116,13,1,30,110,NT,0,0,0,64.74,4353.765
2019,Montfort,13,Full+,117,14,1,30,110,Amodel,0,0,0,65.74,4421.015
2019,Montfort,13,Full+,118,15,1,30,110,AR1R3,0,0,0,72.46,4872.935
2019,Montfort,13,Full+,119,16,1,30,140,NT,0,0,0,72.19,4854.7775
2019,Montfort,13,Full+,120,18,1,30,140,AR1R3,0,0,0,79.33,5334.9425
2019,Montfort,13,Full+,121,17,1,30,140,Amodel,1.16,3,1.16,72.87,4900.5075
2019,Montfort,13,Full+,122,22,1,30,200,NT,0,0,0,70.13,4716.2425
2019,Montfort,13,Full+,123,24,1,30,200,AR1R3,0,0,0,83.05,5585.1125
2019,Montfort,13,Full+,124,23,1,30,200,Amodel,1.47,2.33,1.14,73.93,4971.7925
2019,Montfort,13,Full+,201,1,2,15,110,NT,0.96,3,0.96,81.4,5474.15
2019,Montfort,13,Full+,202,3,2,15,110,AR1R3,1.77,3,1.77,87.33,5872.9425
2019,Montfort,13,Full+,203,2,2,15,110,Amodel,2.38,3,2.38,75.85,5100.9125
2019,Montfort,13,Full+,204,5,2,15,140,Amodel,0,0,0,84.93,5711.5425
2019,Montfort,13,Full+,205,4,2,15,140,NT,0,0,0,74.48,5008.78
2019,Montfort,13,Full+,206,6,2,15,140,AR1R3,0,0,0,82.05,5517.8625
2019,Montfort,13,Full+,207,12,2,15,200,AR1R3,3.41,3,3.41,88.64,5961.04
2019,Montfort,13,Full+,208,10,2,15,200,NT,2,3,2,81.65,5490.9625
